canonical_symbol_candidate,consensus_note,consensus_status,fasset_compliant,fasset_reference_ids,methodologies_count,sc_malaysia_compliant,sc_reference_ids,shariah_review_bureau_compliant,srb_reference_ids
1INCH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-070-1inch""]",1,False,[],False,[]
ADA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-003-cardano""]",3,True,"[""SCMY-07-ADA""]",True,"[""SRB-18-ADA""]"
ADI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-172-adi""]",1,False,[],False,[]
AERO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-126-aerodrome""]",1,False,[],False,[]
AGIX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-114-singularitynet""]",1,False,[],False,[]
AIOZ,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-112-aioz-network""]",1,False,[],False,[]
AKT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-087-akash-network""]",1,False,[],False,[]
ALE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-182-ailey""]",1,False,[],False,[]
ALGO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-026-algorand""]",2,False,[],True,"[""SRB-28-ALGO""]"
ALT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-037-altlayer""]",1,False,[],False,[]
ANKR,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-134-ankr""]",1,False,[],False,[]
APE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-091-apecoin""]",1,False,[],False,[]
APT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-061-aptos""]",1,False,[],False,[]
AR,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-086-arweave""]",1,False,[],False,[]
ARB,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-062-arbitrum""]",1,False,[],False,[]
ARIA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-185-ariaai""]",1,False,[],False,[]
ARKM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-039-arkham""]",1,False,[],False,[]
ASI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-031-artificial-superintelligence-alliance""]",1,False,[],False,[]
ASTR,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-079-astar""]",1,False,[],False,[]
ATOM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-023-cosmos""]",3,True,"[""SCMY-13-ATOM""]",True,"[""SRB-11-ATOM""]"
AVAX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-011-avalanche""]",3,True,"[""SCMY-11-AVAX""]",True,"[""SRB-26-AVAX""]"
AXS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-092-axie-infinity""]",1,False,[],False,[]
BAL,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-147-balancer""]",1,False,[],False,[]
BASE_NETWORK,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-127-base""]",1,False,[],False,[]
BAT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-136-basic-attention-token""]",1,False,[],False,[]
BCH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-013-bitcoin-cash""]",2,True,"[""SCMY-05-BCH""]",False,[]
BDX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-171-beldex""]",1,False,[],False,[]
BEAM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-163-beam""]",1,False,[],False,[]
BGB,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-168-bitget-token""]",1,False,[],False,[]
BLAST,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-128-blast""]",1,False,[],False,[]
BNB,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-029-binance-coin""]",2,False,[],True,"[""SRB-06-BNB""]"
BNT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-155-bancor""]",1,False,[],False,[]
BORG,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-173-swissborg""]",1,False,[],False,[]
BSV,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-080-bitcoin-sv""]",1,False,[],False,[]
BTC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-001-bitcoin""]",3,True,"[""SCMY-01-BTC""]",True,"[""SRB-01-BTC""]"
BTG,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-081-bitcoin-gold""]",1,False,[],False,[]
BTT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-117-bittorrent""]",1,False,[],False,[]
BUSD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-106-binance-usd-legacy""]",2,False,[],True,"[""SRB-21-BUSD""]"
CAKE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-069-pancakeswap""]",1,False,[],False,[]
CELO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-140-celo""]",1,False,[],False,[]
CFX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-110-conflux""]",1,False,[],False,[]
CHZ,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-097-chiliz""]",1,False,[],False,[]
CKB,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-142-nervos-network""]",1,False,[],False,[]
CORE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-162-core""]",1,False,[],False,[]
CRV,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-068-curve-dao""]",1,False,[],False,[]
DASH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-082-dash""]",1,False,[],False,[]
DCR,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-027-decred""]",1,False,[],False,[]
DOGE,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-006-dogecoin""]",2,False,[],True,"[""SRB-24-DOGE""]"
DOT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-007-polkadot""]",3,True,"[""SCMY-12-DOT""]",True,"[""SRB-25-DOT""]"
EGLD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-111-multiversx""]",1,False,[],False,[]
EIGEN,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-119-eigenlayer""]",1,False,[],False,[]
ENJ,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-096-enjin-coin""]",1,False,[],False,[]
EOS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-020-eos""]",1,False,[],False,[]
ESPORTS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-175-yooldo""]",1,False,[],False,[]
ETC,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-017-ethereum-classic""]",2,False,[],True,"[""SRB-20-ETC""]"
ETH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-002-ethereum""]",3,True,"[""SCMY-02-ETH""]",True,"[""SRB-02-ETH""]"
ETHFI,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-120-ether-fi""]",1,False,[],False,[]
EURCV,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-188-eur-coinvertible""]",1,False,[],False,[]
FDUSD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-053-first-digital-usd""]",1,False,[],False,[]
FET,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-113-fetch-ai""]",1,False,[],False,[]
FIL,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-015-filecoin""]",2,False,[],True,"[""SRB-15-FIL""]"
FLOW,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-098-flow""]",1,False,[],False,[]
FRAX,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-059-frax""]",1,False,[],False,[]
FRXETH,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-150-frax-ether""]",1,False,[],False,[]
FTM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-077-fantom""]",1,False,[],False,[]
FXS,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-060-frax-share""]",1,False,[],False,[]
GALA,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-036-gala"", ""FASSET-090-gala""]",1,False,[],False,[]
GLM,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-153-golem""]",1,False,[],False,[]
GNO,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-131-gnosis""]",1,False,[],False,[]
GOMINING,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-181-gomining""]",1,False,[],False,[]
GRT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-033-the-graph""]",1,False,[],False,[]
GT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-052-gatetoken""]",1,False,[],False,[]
GUSD,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-104-gemini-dollar"", ""FASSET-176-gusd""]",1,False,[],False,[]
HBAR,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-034-hedera""]",2,False,[],True,"[""SRB-10-HBAR""]"
HNT,Intentionally unset. HilalMarkets must display independent methodology results rather than inventing a combined halal score.,,True,"[""FASSET-073-helium""]",2,False,[],True,"[""SRB-19-HNT""]"
