assessment_date_source,asset_name_source,authority_name,auto_publish,canonical_symbol_candidate,commercial_display_allowed,external_status_source,index_url,manual_verification_required,methodology_display_name,methodology_id,normalized_status,publication_state,reason_summary_paraphrased,reason_summary_provenance,retrieved_at,rights_state,source_characterization,source_row_id,source_url,status_detail,symbol_source
Aug 2021,Bitcoin,Shariyah Review Bureau W.L.L.,False,BTC,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Peer-to-peer monetary and payment network; the published assessment found no identified breach in the asset's core use.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-01-BTC,https://shariyah.net/cryptocurrencies/bitcoin/,compliant,BTC
Aug 2021,Ethereum,Shariyah Review Bureau W.L.L.,False,ETH,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Programmable public blockchain; ETH is used for fees, value transfer and network participation, with no identified breach in the published assessment.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-02-ETH,https://shariyah.net/cryptocurrencies/ethereum/,compliant,ETH
Jul 2021,Tether,Shariyah Review Bureau W.L.L.,False,USDT,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Payment and settlement stablecoin; the assessment raised continuing transparency and reserve/company considerations.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-03-USDT,https://shariyah.net/cryptocurrencies/tether/,compliant_with_caution,USDT
Jun 2022; reassessed 2026-01-21,USD Coin,Shariyah Review Bureau W.L.L.,False,USDC,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Dollar-referenced payment token; the current assessment is compliant after reassessment, while noting reserve-interest considerations and the token holder's legal relationship to reserves.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-04-USDC,https://shariyah.net/cryptocurrencies/usdc/,compliant_after_reassessment,USDC
Aug 2021,XRP,Shariyah Review Bureau W.L.L.,False,XRP,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Bridge asset for cross-border payments and value transfer; no identified breach in the published assessment.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-05-XRP,https://shariyah.net/cryptocurrencies/ripple/,compliant,XRP
Jul 2021,BNB,Shariyah Review Bureau W.L.L.,False,BNB,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Utility token for network fees, ecosystem services and participation; no identified breach in the published assessment.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-06-BNB,https://shariyah.net/cryptocurrencies/binance/,compliant,BNB
Feb 2024,Monero,Shariyah Review Bureau W.L.L.,False,XMR,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Privacy-focused payment and value-transfer network; the assessment did not identify the token's core utility as a breach.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-07-XMR,https://shariyah.net/cryptocurrencies/monero/,compliant,XMR
Dec 2024,Toncoin,Shariyah Review Bureau W.L.L.,False,TON,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Layer-1 network token used for fees, staking and services; no impermissible core token use was identified.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-08-TON,https://shariyah.net/cryptocurrencies/ton/,compliant,TON
Jul 2024,Internet Computer,Shariyah Review Bureau W.L.L.,False,ICP,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,"Decentralized computing and data infrastructure token used for governance, fees and network functions.",HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-09-ICP,https://shariyah.net/cryptocurrencies/internet-computer/,compliant,ICP
Apr 2024; updated 2026-01-21,Hedera,Shariyah Review Bureau W.L.L.,False,HBAR,False,Compliant,https://shariyah.net/cryptocurrency/,True,Shariah Review Bureau,SHARIAH_REVIEW_BUREAU,ELIGIBLE_EXTERNAL_REFERENCE,PENDING_ADMIN_REVIEW,Distributed-ledger utility token; the current status was updated to compliant after an earlier reserved/neutral position.,HILALMARKETS_PARAPHRASE_OF_PUBLIC_SOURCE,2026-07-24,PUBLIC_DISPLAY_BLOCKED_PENDING_WRITTEN_PERMISSION_OR_COUNSEL_APPROVAL,Preliminary Sharia research; not a fatwa or individualized professional advice.,SRB-10-HBAR,https://shariyah.net/cryptocurrencies/hadera/,compliant_after_reassessment,HBAR
