asset_name_source,authority_name,auto_publish,canonical_symbol_candidate,coin_specific_reasoning_published,decision_date,external_status_source,jurisdiction_scope,manual_verification_required,methodology_id,normalized_status,passport_source_statement,publication_state,retrieved_at,sac_meeting_number,source_row_id,source_url,symbol_source
Bitcoin,"Shariah Advisory Council, Securities Commission Malaysia",False,BTC,False,2020-07-20,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,234th,SCMY-01-BTC,https://www.sc.com.my/digital-assets,BTC
Ethereum,"Shariah Advisory Council, Securities Commission Malaysia",False,ETH,False,2020-07-20,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,234th,SCMY-02-ETH,https://www.sc.com.my/digital-assets,ETH
XRP,"Shariah Advisory Council, Securities Commission Malaysia",False,XRP,False,2020-07-20,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,234th,SCMY-03-XRP,https://www.sc.com.my/digital-assets,XRP
Litecoin,"Shariah Advisory Council, Securities Commission Malaysia",False,LTC,False,2020-07-20,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,234th,SCMY-04-LTC,https://www.sc.com.my/digital-assets,LTC
Bitcoin Cash,"Shariah Advisory Council, Securities Commission Malaysia",False,BCH,False,2021-08-23,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,247th,SCMY-05-BCH,https://www.sc.com.my/digital-assets,BCH
Solana,"Shariah Advisory Council, Securities Commission Malaysia",False,SOL,False,2023-01-12,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,264th,SCMY-06-SOL,https://www.sc.com.my/digital-assets,SOL
Cardano,"Shariah Advisory Council, Securities Commission Malaysia",False,ADA,False,2023-01-12,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,264th,SCMY-07-ADA,https://www.sc.com.my/digital-assets,ADA
Chainlink,"Shariah Advisory Council, Securities Commission Malaysia",False,LINK,False,2023-02-09,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,265th,SCMY-08-LINK,https://www.sc.com.my/digital-assets,LINK
Uniswap,"Shariah Advisory Council, Securities Commission Malaysia",False,UNI,False,2023-02-09,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,265th,SCMY-09-UNI,https://www.sc.com.my/digital-assets,UNI
Polygon,"Shariah Advisory Council, Securities Commission Malaysia",False,MATIC,False,2023-08-10,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,271st,SCMY-10-MATIC,https://www.sc.com.my/digital-assets,MATIC
Avalanche,"Shariah Advisory Council, Securities Commission Malaysia",False,AVAX,False,2023-08-10,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,271st,SCMY-11-AVAX,https://www.sc.com.my/digital-assets,AVAX
Polkadot,"Shariah Advisory Council, Securities Commission Malaysia",False,DOT,False,2024-05-16,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,279th,SCMY-12-DOT,https://www.sc.com.my/digital-assets,DOT
Cosmos,"Shariah Advisory Council, Securities Commission Malaysia",False,ATOM,False,2024-05-16,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,279th,SCMY-13-ATOM,https://www.sc.com.my/digital-assets,ATOM
Worldcoin,"Shariah Advisory Council, Securities Commission Malaysia",False,WLD,False,2024-06-11,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,280th,SCMY-14-WLD,https://www.sc.com.my/digital-assets,WLD
Stellar,"Shariah Advisory Council, Securities Commission Malaysia",False,XLM,False,2024-12-10,Shariah-compliant,Digital assets regulated within the Securities Commission Malaysia framework,True,SC_MALAYSIA_SAC_DIGITAL_ASSETS,ELIGIBLE_EXTERNAL_REFERENCE,"The official source publishes the status, SAC meeting and decision date; it does not publish a detailed coin-specific rationale on the list page.",PENDING_ADMIN_REVIEW,2026-07-24,286th,SCMY-15-XLM,https://www.sc.com.my/digital-assets,XLM
